id,cycle,setting1,setting2,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,label_bnc
1,1,100,-0.000525,389.0025,481.365,1192.275,1050.45,10.965,16.2075,415.77,1791.045,6784.6425,0.975,35.6025,391.245,1791.015,6103.965,6.314625,0.0225,294,1791,29.295,17.56425,0
1,2,100,0.001425,389.0025,481.6125,1193.865,1052.355,10.965,16.2075,415.3125,1791.03,6783.0525,0.975,35.6175,391.71,1791.0525,6098.6175,6.32385,0.0225,294,1791,29.25,17.5677,0
1,3,100,-0.003225,389.0025,481.7625,1190.9925,1053.15,10.965,16.2075,415.695,1791.06,6789.705,0.975,35.4525,391.815,1791.0225,6099.9225,6.31335,0.0225,292.5,1791,29.2125,17.50815,0
1,4,100,0.000525,389.0025,481.7625,1187.0925,1051.4025,10.965,16.2075,415.8375,1791.0825,6787.11,0.975,35.3475,392.145,1791.06,6100.3725,6.27615,0.0225,294,1791,29.16,17.530425,0
1,5,100,-0.001425,389.0025,481.7775,1187.1375,1054.665,10.965,16.2075,415.5,1791.045,6791.3625,0.975,35.46,391.6425,1791.03,6100.35,6.32205,0.0225,294.75,1791,29.175,17.5533,0
1,6,100,-0.003225,389.0025,481.575,1188.3525,1048.7775,10.965,16.2075,416.0025,1791.015,6787.26,0.975,35.37,391.26,1791.0225,6099.6375,6.3081,0.0225,293.25,1791,29.235,17.525175,0
1,7,100,0.00075,389.0025,481.86,1194.24,1048.3275,10.965,16.2075,415.755,1791.015,6794.3475,0.975,35.52,391.74,1791.0225,6099.24,6.29805,0.0225,294,1791,29.325,17.53305,0
1,8,100,-0.00255,389.0025,481.92,1187.22,1050.7275,10.965,16.2075,415.3875,1791,6780.6,0.975,35.43,391.8525,1791.0225,6098.3025,6.3057,0.0225,293.25,1791,29.2275,17.48295,0
1,9,100,0.0006,389.0025,481.59,1193.235,1046.1,10.965,16.2075,415.2675,1791.0375,6784.845,0.975,35.4675,391.3425,1791.0375,6094.2675,6.2796,0.0225,294,1791,29.2875,17.55495,0
1,10,100,-0.002475,389.0025,481.2825,1193.43,1050.345,10.965,16.2075,415.1925,1791.0375,6788.775,0.975,35.2725,391.3425,1791.045,6097.035,6.32145,0.0225,294.75,1791,29.2125,17.60205,0
1,11,100,0.00135,389.0025,481.71,1186.3125,1050.48,10.965,16.2075,415.905,1791.0375,6787.2075,0.975,35.3625,391.05,1791.0075,6105.435,6.3255,0.0225,294,1791,29.205,17.609025,0
1,12,100,0.0012,389.0025,481.545,1187.5575,1050.1125,10.965,16.2075,415.89,1791.0675,6787.0275,0.975,35.385,391.35,1791.015,6100.6875,6.29535,0.0225,293.25,1791,29.295,17.5245,0
